gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1144.5307516928726,1263.4317723162756,1321.0663529136632,1333.8375294880343,1304.0448243317408,1305.1258462248454,LO,1000.0,2015-09-09,496.5717
1145.3652716376614,1264.521168859028,1322.3947093394306,1335.253198818118,1305.1113490352586,1305.642544499257,LO,1000.0,2015-09-10,496.5719
1148.317319381602,1267.4214218747954,1325.1021532259076,1337.7465551705227,1307.307876139193,1307.3444447932184,LO,1000.0,2015-09-11,496.5721
1147.1815830529786,1266.468165642394,1324.3091965148747,1337.0120412303188,1306.3108642955397,1306.144138858475,LO,1000.0,2015-09-14,496.5564
1143.1432995068972,1261.978788373597,1319.672737104551,1334.1184782306436,1303.9696905235119,1304.0272217686288,LO,1000.0,2015-09-15,496.5514
1152.6402348087652,1272.014304733615,1329.6660328862183,1342.769449227063,1311.2635549816653,1310.2202360809806,LO,1000.0,2015-09-16,496.5572
1159.795704891388,1279.7600813356214,1337.5894407754347,1349.8817593762437,1317.212196066108,1315.384553506255,LO,1000.0,2015-09-17,496.5786
1160.3898114266785,1280.5983313632892,1339.5791991783303,1350.836724696457,1317.52399579102,1315.4210490927687,LO,1000.0,2015-09-18,496.5786
1157.6158260434172,1277.2533493623773,1336.0712329491932,1347.624781016767,1314.5179330389074,1312.8986845467211,LO,1000.0,2015-09-21,496.5786
1156.3313732071983,1277.4876939072667,1337.2459832396955,1350.619243708676,1317.8484257774653,1314.6570946078864,LO,1000.0,2015-09-22,496.5891
1158.0793343654984,1279.7659106442272,1339.7773346292042,1352.1618083297155,1318.9001261268177,1315.2853431828312,LO,1000.0,2015-09-23,496.5794
1162.2056212721288,1285.086068930511,1345.755131054686,1358.2282113356769,1324.518099663462,1319.3223220532195,LO,1000.0,2015-09-24,496.5843
1168.0084019546498,1290.8347017539968,1351.2475560335245,1362.5295611661165,1327.8865278579217,1321.9789438666612,LO,1000.0,2015-09-25,496.5844
1168.7954372994209,1290.9575134326765,1347.2132289787794,1359.2182704322297,1324.6582023377266,1319.0795272122061,LO,1000.0,2015-09-28,496.5846
1173.8874686032823,1295.829350023698,1352.2690778734004,1364.1358437658475,1328.487245439416,1321.3401425133686,LO,1000.0,2015-09-29,496.5847
1178.6487835608975,1301.7955630395877,1358.3765954740616,1370.5539190947654,1334.8841971871527,1327.5803313061067,LO,1000.0,2015-09-30,496.5847
1178.4104359619862,1301.5382267461473,1358.1484232187638,1370.6386208293534,1335.9718845321174,1329.2647376893296,LO,1000.0,2015-10-01,496.5847
1191.510504401853,1315.9913181805791,1373.3210387740542,1385.7066318599545,1349.6571720555717,1340.6347565311946,LO,1000.0,2015-10-02,496.5848
1191.2358322547689,1315.7302204491666,1373.336980221994,1385.303028494345,1348.2493174856947,1340.2793000253494,LO,1000.0,2015-10-05,496.585
1188.4562945070484,1312.656896350282,1370.1065704291436,1381.8677156399244,1344.9191160988876,1337.7373205566994,LO,1000.0,2015-10-06,496.585
1178.159469982119,1301.2960997200976,1358.3311738597365,1370.3544994680026,1334.2934657419528,1329.2406087602114,LO,1000.0,2015-10-07,496.585
1179.403745846462,1302.6947174012164,1359.9569010346463,1371.9285172521154,1335.2910223057236,1330.0541042474006,LO,1000.0,2015-10-08,496.5852
1175.49811400521,1298.3794475493821,1355.4426895858712,1367.1618506287361,1330.2278146970636,1325.97147528969,LO,1000.0,2015-10-09,496.5796
1175.4038816637046,1298.3037486129595,1355.557401710616,1367.5367495465048,1330.5288247581827,1326.0975259982445,LO,1000.0,2015-10-12,496.5826
