gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1453.1033203531583,1513.5603339019626,1524.1426451945038,1599.3956240542152,1648.0893077544044,1656.7051304814004,LS,0.1,2021-01-06,527.5786
1454.0302884236028,1514.6598643170678,1525.2177108271503,1600.445503027779,1649.038690648529,1657.430140840449,LS,0.1,2021-01-07,527.5786
1453.6786006078053,1515.2847525366178,1525.5233842388113,1599.1448914255259,1647.6030210763608,1656.246549677396,LS,0.1,2021-01-08,527.5846
1449.829195345385,1510.500461465133,1520.4201872655235,1592.9854961830022,1641.4166443909098,1650.6398017764145,LS,0.1,2021-01-11,527.5867
1453.2579825335486,1514.3366174189646,1524.1462565863399,1596.3644010538528,1645.0257065453218,1654.5878653809261,LS,0.1,2021-01-12,527.5879
1456.2811559995014,1518.096815061809,1528.195373624147,1601.3154416124394,1650.0569654537248,1659.2971872329467,LS,0.1,2021-01-13,527.5912
1455.0352549963961,1517.0452668189741,1527.0614104161255,1599.7988497988676,1648.2873124423545,1657.3092254887465,LS,0.1,2021-01-14,527.5912
1451.3144583932765,1512.4017078641227,1522.2501213300566,1594.3650324184366,1642.8281234743413,1652.3098584201048,LS,0.1,2021-01-15,527.5912
1450.855162339253,1512.0824925378913,1521.9308264662382,1594.0658734961225,1642.3889564711708,1651.667800745567,LS,0.1,2021-01-18,527.594
1452.6093951729508,1514.7073293384813,1524.6886064090827,1597.1839599287928,1645.5685436245687,1654.713675663471,LS,0.1,2021-01-19,527.5968
1458.6824762916794,1522.3185779147557,1532.6887231310511,1606.539772053721,1655.1046909514337,1663.7046587587827,LS,0.1,2021-01-20,527.601
1457.6318874095277,1520.8427824507896,1531.3206797188348,1605.4253057777212,1653.8771600587638,1662.3326997956012,LS,0.1,2021-01-21,527.6061
1456.4186111678569,1519.4687867238647,1529.705640601761,1602.9386577521138,1651.5453193618407,1660.6019083306599,LS,0.1,2021-01-22,527.6061
1460.014230493879,1523.2833407386554,1533.5587327233106,1606.9301102611873,1655.8259486792865,1665.1411999474697,LS,0.1,2021-01-25,527.614
1459.3696675684378,1522.8383206217306,1533.1696449533927,1606.7170776999612,1655.5895129759556,1664.6967980473726,LS,0.1,2021-01-26,527.6243
1453.8239515878292,1516.5210059607964,1526.7611426815015,1599.133310500882,1648.4459756071126,1658.8264166155645,LS,0.1,2021-01-27,527.6288
1448.426872566645,1509.88925192779,1519.8363481287581,1591.4938110130436,1640.821844362564,1651.6920676812913,LS,0.1,2021-01-28,527.6286
1445.5262861118156,1507.32714282736,1517.493481538114,1589.5102724934447,1638.6782849380038,1649.2144136994925,LS,0.1,2021-01-29,527.6327
1448.3310562846261,1508.655677251877,1517.9663495185082,1589.0381086006323,1638.578074111642,1650.1713253807138,LS,0.1,2021-02-01,527.6321
1446.337985184205,1504.5569099599588,1512.8224997396212,1582.046707586927,1631.7716405905687,1644.7784066012912,LS,0.1,2021-02-02,527.637
1442.8840359013677,1499.8133383437953,1506.633834219936,1574.1930055214923,1624.0652348417252,1638.1879824005296,LS,0.1,2021-02-03,527.6511
1438.815874437401,1495.6023747472009,1502.0476025090602,1568.2458814811396,1617.7899566749802,1632.3466840670308,LS,0.1,2021-02-04,527.6637
1437.587416944436,1494.2124513018587,1499.9675088119395,1564.2109451294655,1613.623774392365,1628.8239424024077,LS,0.1,2021-02-05,527.672
1438.43740734765,1495.0844376761813,1501.1224026231291,1565.8620330543456,1615.3176849077352,1630.3617174268143,LS,0.1,2021-02-08,527.6745
1440.7143419683769,1497.4455352562493,1503.591134427516,1568.380449254604,1617.9259215772736,1633.0205310213641,LS,0.1,2021-02-09,527.67
1444.3184682839901,1501.1860799116034,1507.869514646226,1572.9339400663234,1622.6378102646245,1637.7485886521629,LS,0.1,2021-02-10,527.6643
1443.6269005181737,1500.462516591331,1507.088302804811,1572.1686289798024,1621.8299060368415,1636.881361182542,LS,0.1,2021-02-11,527.6697
1441.237797306213,1497.6949138849334,1503.611324615906,1568.5149586837379,1618.0257519662869,1632.990925403566,LS,0.1,2021-02-12,527.6666
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,LS,1000.0,2007-09-21,476.3258
992.72313879163,992.7701179279999,992.804532828129,992.7579407934721,992.7188026025993,993.1303108587399,LS,1000.0,2007-09-24,476.4155
990.9561198981966,991.0283422053003,991.0654277586623,991.6388993337308,992.0830635146691,992.9737235115896,LS,1000.0,2007-09-25,476.5275
993.7689617100343,993.7855182279939,993.7806138905236,994.0132914563898,994.197398082509,994.8268659557764,LS,1000.0,2007-09-26,476.5578
1011.9059594569072,1011.7937017019425,1011.6929992770415,1010.5600579769479,1009.6852686225448,1008.0938157001716,LS,1000.0,2007-09-27,476.6298
1005.900820265013,1005.453298550744,1005.2870053484527,1005.2074086973055,1005.1433833381004,1004.3668517955643,LS,1000.0,2007-09-28,476.6801
1006.5887542958601,1006.2419890719791,1006.757528199903,1007.6930293001118,1007.9433327545992,1007.4177201779881,LS,1000.0,2007-10-01,476.6747
1010.3409686795837,1009.9019131557726,1010.3848786735533,1010.9218787700964,1010.8375144884609,1009.8213830943255,LS,1000.0,2007-10-02,476.6952
1005.864969294385,1005.1812527897044,1005.7505197911902,1006.8601811599555,1007.2579505014209,1006.8068764326418,LS,1000.0,2007-10-03,476.7589
1008.4542165915442,1007.8680342105314,1007.9646978723349,1008.526420962028,1008.7300594111992,1008.1266802353188,LS,1000.0,2007-10-04,476.8164
1010.6952007506811,1009.7036693610285,1009.603587005901,1010.3107464665275,1010.4931776578885,1009.7857135412789,LS,1000.0,2007-10-05,476.8201
1001.2264924335943,1000.8650178970925,1002.0876657034677,1004.7566900660659,1005.7691067815205,1005.8210526525197,LS,1000.0,2007-10-08,476.904
1010.7714496597451,1009.6701230005903,1009.988972238615,1011.318561049577,1011.6227045127249,1010.8735311996761,LS,1000.0,2007-10-09,476.9879
